2026-05-10T20:00:46.315211 start scheduler
2026-05-10T20:00:46.315245 start memcached [0,1,2,3] 4
798525 (process ID) old priority 0, new priority -17
798525 (process ID) old priority -17, new priority -17
798527 (process ID) old priority 0, new priority -17
798528 (process ID) old priority 0, new priority -17
798529 (process ID) old priority 0, new priority -17
798530 (process ID) old priority 0, new priority -17
798531 (process ID) old priority 0, new priority -17
798532 (process ID) old priority 0, new priority -17
798533 (process ID) old priority 0, new priority -17
798534 (process ID) old priority 0, new priority -17
798535 (process ID) old priority 0, new priority -17
2026-05-10T20:00:46.537038 custom memcached Reniced memcached to -17
2026-05-10T20:00:54.870576 start freqmine [0,1,2,3] 2
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 29.000000000000625%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 32.00000000000074%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 23.99999999999949%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 23.99999999999949%
Memcached max thread CPU utilization: 23.99999999999949%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 22.999999999998977%
Memcached max thread CPU utilization: 22.000000000001307%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 35.99999999999994%
Memcached max thread CPU utilization: 43.00000000000068%
Memcached max thread CPU utilization: 42.00000000000017%
Memcached max thread CPU utilization: 43.00000000000068%
Memcached max thread CPU utilization: 43.00000000000068%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 4.000000000000625%
Memcached max thread CPU utilization: 4.000000000000625%
Memcached max thread CPU utilization: 4.000000000000625%
Memcached max thread CPU utilization: 4.000000000000625%
Memcached max thread CPU utilization: 7.000000000000739%
Memcached max thread CPU utilization: 7.000000000000739%
Memcached max thread CPU utilization: 7.999999999998408%
Memcached max thread CPU utilization: 7.000000000000739%
Memcached max thread CPU utilization: 7.000000000000739%
Memcached max thread CPU utilization: 4.000000000000625%
Memcached max thread CPU utilization: 4.999999999999716%
Memcached max thread CPU utilization: 5.000000000001137%
Memcached max thread CPU utilization: 4.999999999999716%
Memcached max thread CPU utilization: 6.999999999999318%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 21.000000000000796%
Memcached max thread CPU utilization: 20.000000000001705%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 8.99999999999892%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 9.000000000000341%
2026-05-10T20:05:50.161542 end blackscholes
2026-05-10T20:05:51.546182 start canneal [0,1,2,3] 2
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 35.00000000000085%
Memcached max thread CPU utilization: 35.00000000000085%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 10.000000000000853%
Memcached max thread CPU utilization: 9.999999999999432%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 35.00000000000085%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 31.999999999999318%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 19.000000000001194%
Memcached max thread CPU utilization: 13.000000000000966%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 8.99999999999892%
Memcached max thread CPU utilization: 29.000000000000625%
Memcached max thread CPU utilization: 37.999999999999545%
Memcached max thread CPU utilization: 38.000000000000966%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 25.99999999999909%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 27.000000000001023%
Memcached max thread CPU utilization: 46.999999999999886%
Memcached max thread CPU utilization: 46.000000000000796%
Memcached max thread CPU utilization: 47.99999999999898%
Memcached max thread CPU utilization: 48.99999999999807%
Memcached max thread CPU utilization: 39.99999999999915%
Memcached max thread CPU utilization: 10.000000000000853%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 9.999999999999432%
Memcached max thread CPU utilization: 11.000000000001364%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 40.00000000000057%
Memcached max thread CPU utilization: 40.99999999999966%
Memcached max thread CPU utilization: 40.99999999999824%
Memcached max thread CPU utilization: 40.00000000000057%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 39.00000000000006%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 40.00000000000057%
Memcached max thread CPU utilization: 45.999999999999375%
Memcached max thread CPU utilization: 47.99999999999898%
Memcached max thread CPU utilization: 46.000000000000796%
Memcached max thread CPU utilization: 48.0000000000004%
Memcached max thread CPU utilization: 45.999999999999375%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 9.999999999999432%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 11.999999999999034%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 29.999999999998295%
Memcached max thread CPU utilization: 28.999999999999204%
Memcached max thread CPU utilization: 29.000000000002046%
Memcached max thread CPU utilization: 27.000000000001023%
Memcached max thread CPU utilization: 23.00000000000182%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 22.999999999998977%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 30.000000000001137%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 36.999999999999034%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 20.000000000000284%
Memcached max thread CPU utilization: 10.000000000000853%
Memcached max thread CPU utilization: 8.99999999999892%
Memcached max thread CPU utilization: 10.000000000000853%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 13.000000000000966%
Memcached max thread CPU utilization: 14.000000000000057%
Memcached max thread CPU utilization: 14.000000000000057%
Memcached max thread CPU utilization: 13.000000000000966%
Memcached max thread CPU utilization: 14.000000000001478%
Memcached max thread CPU utilization: 45.000000000000284%
Memcached max thread CPU utilization: 46.999999999999886%
Memcached max thread CPU utilization: 50.99999999999909%
2026-05-10T20:07:27.494180 custom scheduler High+CPU+utilization+detected%3A+50.99999999999909%25.+Pausing+jobs.
2026-05-10T20:07:27.538304 pause freqmine
2026-05-10T20:07:27.584799 pause canneal
Memcached max thread CPU utilization: 65.00000000000057%
Memcached max thread CPU utilization: 51.9999999999996%
2026-05-10T20:07:30.728247 unpause freqmine
2026-05-10T20:07:30.757844 unpause canneal
Memcached max thread CPU utilization: 14.000000000001478%
Memcached max thread CPU utilization: 14.000000000000057%
Memcached max thread CPU utilization: 13.000000000000966%
Memcached max thread CPU utilization: 12.999999999999545%
Memcached max thread CPU utilization: 14.999999999999147%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 21.999999999999886%
Memcached max thread CPU utilization: 22.000000000001307%
Memcached max thread CPU utilization: 22.000000000001307%
Memcached max thread CPU utilization: 14.000000000000057%
Memcached max thread CPU utilization: 6.0000000000016485%
Memcached max thread CPU utilization: 6.0000000000016485%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 6.000000000000227%
Memcached max thread CPU utilization: 11.999999999999034%
Memcached max thread CPU utilization: 15.999999999999659%
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 15.00000000000199%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 21.000000000000796%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 22.999999999998977%
Memcached max thread CPU utilization: 23.000000000000398%
Memcached max thread CPU utilization: 23.99999999999949%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 36.000000000001364%
Memcached max thread CPU utilization: 35.99999999999994%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 38.000000000000966%
Memcached max thread CPU utilization: 37.000000000000455%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 34.99999999999943%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 36.999999999999034%
Memcached max thread CPU utilization: 42.99999999999926%
Memcached max thread CPU utilization: 42.00000000000017%
Memcached max thread CPU utilization: 43.99999999999977%
Memcached max thread CPU utilization: 42.00000000000017%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 18.000000000000682%
Memcached max thread CPU utilization: 16.99999999999875%
Memcached max thread CPU utilization: 17.99999999999926%
Memcached max thread CPU utilization: 18.000000000000682%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 9.000000000000341%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 31.000000000000227%
Memcached max thread CPU utilization: 31.999999999999318%
Memcached max thread CPU utilization: 31.999999999999318%
Memcached max thread CPU utilization: 30.999999999998806%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 9.999999999999432%
Memcached max thread CPU utilization: 10.000000000000853%
Memcached max thread CPU utilization: 11.000000000001364%
Memcached max thread CPU utilization: 14.000000000000057%
Memcached max thread CPU utilization: 40.99999999999966%
Memcached max thread CPU utilization: 42.00000000000017%
Memcached max thread CPU utilization: 41.00000000000108%
Memcached max thread CPU utilization: 42.00000000000017%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 17.99999999999926%
Memcached max thread CPU utilization: 17.99999999999926%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 17.99999999999784%
Memcached max thread CPU utilization: 17.99999999999926%
Memcached max thread CPU utilization: 18.000000000000682%
Memcached max thread CPU utilization: 18.99999999999835%
Memcached max thread CPU utilization: 19.000000000001194%
Memcached max thread CPU utilization: 18.999999999999773%
Memcached max thread CPU utilization: 24.00000000000091%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 27.000000000001023%
Memcached max thread CPU utilization: 27.999999999998693%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 8.00000000000125%
Memcached max thread CPU utilization: 7.9999999999998295%
Memcached max thread CPU utilization: 9.000000000001762%
Memcached max thread CPU utilization: 7.9999999999998295%
Memcached max thread CPU utilization: 45.999999999999375%
Memcached max thread CPU utilization: 51.00000000000051%
2026-05-10T20:09:01.491403 custom scheduler High+CPU+utilization+detected%3A+51.00000000000051%25.+Pausing+jobs.
2026-05-10T20:09:01.538168 pause freqmine
2026-05-10T20:09:01.591935 pause canneal
Memcached max thread CPU utilization: 73.00000000000182%
Memcached max thread CPU utilization: 57.00000000000216%
Memcached max thread CPU utilization: 51.9999999999996%
2026-05-10T20:09:05.749255 unpause freqmine
2026-05-10T20:09:05.767188 unpause canneal
Memcached max thread CPU utilization: 17.00000000000017%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 16.00000000000108%
Memcached max thread CPU utilization: 15.000000000000568%
Memcached max thread CPU utilization: 19.000000000001194%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 26.000000000001933%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 19.000000000001194%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 10.999999999999943%
Memcached max thread CPU utilization: 12.999999999999545%
Memcached max thread CPU utilization: 12.000000000000455%
Memcached max thread CPU utilization: 20.999999999999375%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 25.99999999999909%
Memcached max thread CPU utilization: 23.99999999999949%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 26.999999999999602%
Memcached max thread CPU utilization: 32.99999999999983%
Memcached max thread CPU utilization: 35.99999999999994%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 36.000000000001364%
Memcached max thread CPU utilization: 34.00000000000034%
Memcached max thread CPU utilization: 28.000000000000114%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 26.00000000000051%
Memcached max thread CPU utilization: 25.0%
Memcached max thread CPU utilization: 22.000000000001307%
Memcached max thread CPU utilization: 17.00000000000159%
Memcached max thread CPU utilization: 16.0000000000025%
Memcached max thread CPU utilization: 15.999999999999659%
Memcached max thread CPU utilization: 15.999999999999659%
Memcached max thread CPU utilization: 30.000000000001137%
Memcached max thread CPU utilization: 47.00000000000273%
Memcached max thread CPU utilization: 46.999999999999886%
Memcached max thread CPU utilization: 47.99999999999898%
2026-05-10T20:09:48.148951 end freqmine
2026-05-10T20:09:49.514387 start radix [0,1,2,3] 2
